Altium Designer Pick and Place Locations
E:\project\cybathlon\cybathlon_2\Project Outputs for cybathlon\Pick Place for core.csv

========================================================================================================================
File Design Information:

Date:       15/08/24
Time:       17:08
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R2","10K","TopLayer","RES_0402","15.2400","15.2400","0","0402WGF1002TCE"
"Q3","NPN","TopLayer","SOT-23","15.1616","12.8010","90","S8050 J3Y(RANGE:200-350)"
"Q2","PMOS","TopLayer","SOT-23","11.6580","12.7784","0","SI2301-ZE"
"Q1","NPN","TopLayer","SOT-23","6.0300","20.0500","270","S8050 J3Y(RANGE:200-350)"
"D4","SHOTTKY DIODE","TopLayer","SHOTTKY_DIODE_SOD-123","11.3260","20.8416","180","1N5819W"
"C24","50V 0.1UF","BottomLayer","CAP_0402","22.7330","18.6690","0","0402B104K500NT"
"C17","50V 0.1UF","BottomLayer","CAP_0402","22.7330","17.3990","180","0402B104K500NT"
"C1","50V 0.1UF","BottomLayer","CAP_0402","24.2570","21.0820","270","0402B104K500NT"
"R21","909","TopLayer","RES_0402","23.2410","34.6710","90","FRC0402F9090TS"
"R20","909","TopLayer","RES_0402","26.5430","34.5440","90","FRC0402F9090TS"
"C23","50V 0.1UF","BottomLayer","CAP_0402","14.0970","26.2890","0","0402B104K500NT"
"Y1","16M","BottomLayer","OSC_3225","19.9900","21.2851","180","TAXM16M4RLBCCT2T"
"U1","ICW1214C33M5GQ1","TopLayer","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL","17.7800","16.6370","180","ICW1214C33M5GQ1"
"SW1","WHEEL_SWITCH","TopLayer","SW-SMD_TM-2024A","26.8000","20.0000","270","TM-2024A"
"RN1","330R","BottomLayer","RES_0603_4P","9.6520","27.6860","0","4D02WGJ0331TCE"
"R19","7.68K","TopLayer","RES_0402","16.5100","23.3680","0","0402WGF7681TCE"
